title,size,price,bedrooms,bathrooms
فيلا للبيع في الرياض,240.0,1000000.0,4.0,5.0
فيلا للبيع في طريق عثمان بن عفان ، الرياض,350.0,2000000.0,4.0,5.0
فيلا للبيع في الرياض,385.0,1160000.0,5.0,5.0
فيلا للبيع في الرياض,250.0,1380000.0,5.0,5.0
فيلا للبيع في شارع ابي الشجاع اللوزي ، حي السويدي الغربي ، الرياض,500.0,850000.0,4.70312813314618,5.0
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,350.0,1530000.0,4.0,4.0
فيلا للبيع في شارع علي بن النقيب ، حي الحزم ، الرياض,300.0,1050000.0,5.0,5.0
فيلا للبيع في شارع أبو سعيد النقاش ، حي العوالي ، الرياض,475.6799679165831,1700000.0,4.70312813314618,5.0
فيلا للبيع في حي ديراب ، الرياض,312.0,950000.0,5.0,5.0
فيلا للبيع في الرياض,375.0,1200000.0,5.0,5.0
فيلا للبيع في شارع الإمام الشافعي ، حي الفيحاء ، الرياض,475.6799679165831,2000000.0,4.70312813314618,5.0
فيلا للبيع في الرياض,326.0,800000.0,4.0,4.0
فيلا للبيع في حي الملك عبدالله ، الرياض,400.0,1800000.0,4.0,4.449167836374574
فيلا للبيع في حي الياسمين ، الرياض,360.0,2100000.0,5.0,5.0
فيلا للبيع في حي القادسية ، الرياض,384.0,1400000.0,5.0,5.0
فيلا للبيع في الرياض,520.0,1895102.5614597956,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,360.0,1900000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,250.0,870000.0,5.0,5.0
فيلا للبيع في حي عكاظ ، الرياض,390.0,1150000.0,4.70312813314618,5.0
فيلا للبيع في الرياض,210.0,820000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,375.0,1400000.0,5.0,5.0
فيلا للبيع في شارع الكداوي ، حي الحزم ، الرياض,312.0,1100000.0,4.70312813314618,5.0
فيلا للبيع في حي الياسمين ، الرياض,350.0,2000000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,432.0,1600000.0,4.0,4.0
فيلا للبيع في الرياض,245.0,850000.0,5.0,5.0
فيلا للبيع في الرياض,270.0,1300000.0,3.0,5.0
فيلا للبيع في حي القادسية ، الرياض,437.0,1400000.0,4.70312813314618,4.0
فيلا للبيع في الرياض,322.0,1400000.0,5.0,5.0
فيلا للبيع في شارع عبدالله الفرضي ، حي الربيع ، الرياض,438.0,2700000.0,5.0,5.0
فيلا للبيع في الرياض,375.0,1150000.0,3.0,4.0
فيلا للبيع في طريق أنس ابن مالك ، الرياض,554.0,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,325.0,1400000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,250.0,870000.0,6.0,5.0
فيلا للبيع في حي الملقا ، الرياض,500.0,1895102.5614597956,5.0,4.0
فيلا للبيع في حي الرمال ، الرياض,348.0,1450000.0,4.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,267.0,910000.0,5.0,5.0
فيلا للبيع في الرياض,385.0,950000.0,5.0,5.0
فيلا للبيع في شارع ابراهيم البرهان ، حي الجنادرية ، الرياض,300.0,1050000.0,4.0,4.0
فيلا للبيع في شارع النزلة ، حي الصحافة ، الرياض,350.0,1750000.0,5.0,4.0
فيلا للبيع في حي الياسمين ، الرياض,360.0,1900000.0,4.0,4.0
فيلا للبيع في الرياض,360.0,850000.0,5.0,4.0
فيلا للبيع في شارع نجم الدين الايوبي ، الرياض,300.0,1070000.0,3.0,5.0
فيلا للبيع في شارع سلطان بن نمر ، حي الرمال ، الرياض,354.0,1150000.0,5.0,5.0
فيلا للبيع في الرياض,360.0,1180000.0,5.0,5.0
فيلا للبيع في الرياض,625.0,1750000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,405.0,1750000.0,3.0,5.0
فيلا للبيع في حي طويق ، الرياض,300.0,920000.0,5.0,5.0
فيلا للبيع في حي حطين ، الرياض,595.0,1895102.5614597956,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,330.0,1150000.0,5.0,5.0
فيلا للبيع في حي القيروان ، الرياض,375.0,2100000.0,6.0,3.0
فيلا للبيع في شارع الكندي ، حي الملك فيصل ، الرياض,475.6799679165831,2500000.0,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,312.0,1700000.0,4.0,4.0
فيلا للبيع في الرياض,250.0,1250000.0,4.0,5.0
فيلا للبيع في شارع الوراد ، حي الحزم ، الرياض,250.0,880000.0,4.0,5.0
فيلا للبيع في حي الحزم ، الرياض,290.0,1080000.0,6.0,5.0
فيلا للبيع في الرياض,337.0,1600000.0,3.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,435.0,970000.0,3.0,4.0
فيلا للبيع في شارع نجم الدين الأيوبي الفرعي ، الرياض,450.0,1000000.0,5.0,5.0
فيلا للبيع في حي حطين ، الرياض,525.0,1895102.5614597956,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,300.0,930000.0,5.0,5.0
