time_duration,neighborhood
14 days 00:00:00,الرمال
0 days 07:00:00,الياسمين
7 days 00:00:00,النرجس
3 days 00:00:00,القيروان
4 days 00:00:00,المهدية
7 days 00:00:00,طويق
0 days 08:00:00,نمار
0 days 03:00:00,الربيع
30 days 10:00:00,الجنادرية
30 days 10:00:00,العارض
7 days 00:00:00,المهدية
0 days 08:00:00,طويق
0 days 11:00:00,الياسمين
5 days 00:00:00,الخليج
1 days 00:00:00,القادسية
1 days 00:00:00,طويق
0 days 12:00:00,طويق
2 days 00:00:00,طويق
2 days 00:00:00,طويق
0 days 11:00:00,الندى
0 days 07:00:00,الياسمين
0 days 15:00:00,العارض
28 days 00:00:00,القادسية
0 days 08:00:00,طويق
1 days 00:00:00,الرمال
30 days 10:00:00,لبن
91 days 06:00:00,لبن
60 days 20:00:00,القادسية
14 days 00:00:00,العارض
0 days 02:00:00,الياسمين
0 days 09:00:00,الشرق
0 days 16:00:00,الروضة
0 days 06:00:00,طويق
0 days 00:17:00,المحمدية
1 days 00:00:00,الربيع
7 days 00:00:00,بدر
0 days 09:00:00,الشرق
1 days 00:00:00,نمار
14 days 00:00:00,المعيزلة
2 days 00:00:00,الشرق
0 days 00:36:00,قرطبة
3 days 00:00:00,المهدية
7 days 00:00:00,قرطبة
2 days 00:00:00,الياسمين
30 days 10:00:00,الندى
91 days 06:00:00,طويق
1 days 00:00:00,طويق
7 days 00:00:00,الرمال
21 days 00:00:00,طويق
30 days 10:00:00,الرمال
21 days 00:00:00,نمار
3 days 00:00:00,بدر
2 days 00:00:00,النرجس
1 days 00:00:00,الملقا
60 days 20:00:00,الجنادرية
60 days 20:00:00,الرمال
4 days 00:00:00,المهدية
0 days 08:00:00,العارض
2 days 00:00:00,الحزم
7 days 00:00:00,حطين
14 days 00:00:00,العارض
0 days 09:00:00,العزيزية
0 days 06:00:00,العارض
3 days 00:00:00,العارض
1 days 00:00:00,الصحافة
0 days 13:00:00,طويق
0 days 07:00:00,الملقا
1 days 00:00:00,طويق
0 days 12:00:00,العارض
3 days 00:00:00,حطين
0 days 06:00:00,العارض
0 days 07:00:00,العارض
14 days 00:00:00,الرمال
7 days 00:00:00,النهضة
7 days 00:00:00,البديعة
3 days 00:00:00,الصحافة
14 days 00:00:00,العارض
4 days 00:00:00,العليا
6 days 00:00:00,الروضة
30 days 10:00:00,نمار
0 days 01:00:00,الملقا
1 days 00:00:00,المونسية
2 days 00:00:00,الروابي
1 days 00:00:00,الرمال
0 days 05:00:00,الرمال
21 days 00:00:00,الرمال
4 days 00:00:00,العليا
2 days 00:00:00,النهضة
3 days 00:00:00,طويق
1 days 00:00:00,حطين
2 days 00:00:00,طويق
14 days 00:00:00,الملقا
1 days 00:00:00,العارض
30 days 10:00:00,النهضة
60 days 20:00:00,العزيزية
0 days 06:00:00,الجنادرية
0 days 06:00:00,النرجس
60 days 20:00:00,الملقا
0 days 07:00:00,المهدية
5 days 00:00:00,طويق
91 days 06:00:00,نمار
0 days 14:00:00,الملقا
0 days 00:21:00,المهدية
14 days 00:00:00,طويق
30 days 10:00:00,العارض
3 days 00:00:00,الرمال
0 days 08:00:00,طويق
0 days 10:00:00,طويق
91 days 06:00:00,نمار
2 days 00:00:00,الرمال
4 days 00:00:00,المونسية
14 days 00:00:00,طويق
0 days 06:00:00,الملقا
6 days 00:00:00,القيروان
0 days 09:00:00,طويق
3 days 00:00:00,الياسمين
0 days 09:00:00,النرجس
3 days 00:00:00,المهدية
7 days 00:00:00,الندى
1 days 00:00:00,لبن
0 days 08:00:00,العارض
0 days 11:00:00,القيروان
0 days 06:00:00,الملقا
0 days 12:00:00,حطين
21 days 00:00:00,الربيع
5 days 00:00:00,الرمال
0 days 12:00:00,طويق
4 days 00:00:00,المهدية
28 days 00:00:00,اليرموك
1 days 00:00:00,السعادة
2 days 00:00:00,الياسمين
91 days 06:00:00,المهدية
30 days 10:00:00,الرمال
0 days 19:00:00,القيروان
0 days 09:00:00,طويق
7 days 00:00:00,المونسية
0 days 10:00:00,العارض
60 days 20:00:00,الرمال
3 days 00:00:00,حطين
2 days 00:00:00,الياسمين
1 days 00:00:00,الملقا
0 days 09:00:00,طويق
0 days 06:00:00,الرمال
7 days 00:00:00,النظيم
60 days 20:00:00,الرمال
14 days 00:00:00,العليا
1 days 00:00:00,العارض
0 days 04:00:00,الياسمين
14 days 00:00:00,القيروان
60 days 20:00:00,طويق
30 days 10:00:00,الملقا
0 days 00:35:00,القيروان
3 days 00:00:00,المونسية
0 days 08:00:00,طويق
4 days 00:00:00,لبن
91 days 06:00:00,نمار
14 days 00:00:00,طويق
30 days 10:00:00,العارض
4 days 00:00:00,النرجس
7 days 00:00:00,طويق
2 days 00:00:00,الخليج
0 days 07:00:00,الملقا
30 days 10:00:00,طويق
7 days 00:00:00,الحزم
30 days 10:00:00,الرمال
0 days 12:00:00,القيروان
0 days 07:00:00,النخيل
1 days 00:00:00,الرمال
2 days 00:00:00,فيصل
30 days 10:00:00,طويق
0 days 10:00:00,طويق
28 days 00:00:00,العارض
60 days 20:00:00,العليا
7 days 00:00:00,الرمال
4 days 00:00:00,لبن
3 days 00:00:00,الملقا
0 days 00:36:00,النرجس
21 days 00:00:00,الملقا
30 days 10:00:00,ديراب
21 days 00:00:00,الوشام
0 days 05:00:00,الرمال
3 days 00:00:00,طويق
6 days 00:00:00,الوسطى
0 days 12:00:00,الملقا
6 days 00:00:00,القادسية
2 days 00:00:00,النرجس
4 days 00:00:00,الملقا
0 days 13:00:00,طويق
30 days 10:00:00,طويق
30 days 10:00:00,طويق
6 days 00:00:00,الاندلس
1 days 00:00:00,الروضة
0 days 04:00:00,الملقا
30 days 10:00:00,المنصورة
30 days 10:00:00,النرجس
7 days 00:00:00,الشرق
0 days 06:00:00,الملقا
0 days 06:00:00,الملقا
7 days 00:00:00,اليرموك
21 days 00:00:00,المونسية
0 days 06:00:00,الياسمين
5 days 00:00:00,الغدير
0 days 04:00:00,العارض
60 days 20:00:00,المهدية
1 days 00:00:00,طويق
7 days 00:00:00,طويق
7 days 00:00:00,بدر
14 days 00:00:00,الرمال
0 days 00:35:00,النرجس
0 days 07:00:00,العارض
91 days 06:00:00,طويق
7 days 00:00:00,العقيق
0 days 14:00:00,الملقا
0 days 07:00:00,العارض
60 days 20:00:00,العزيزية
2 days 00:00:00,الربيع
6 days 00:00:00,طويق
30 days 10:00:00,طويق
1 days 00:00:00,النرجس
2 days 00:00:00,طويق
5 days 00:00:00,شبرا
30 days 10:00:00,طويق
28 days 00:00:00,الدولي
0 days 02:00:00,العقيق
0 days 11:00:00,السعادة
0 days 10:00:00,طويق
7 days 00:00:00,طويق
0 days 00:36:00,الملقا
30 days 10:00:00,الرمال
30 days 10:00:00,العارض
7 days 00:00:00,طويق
1 days 00:00:00,طويق
91 days 06:00:00,لبن
1 days 00:00:00,القيروان
6 days 00:00:00,الملقا
0 days 00:01:00,الملقا
0 days 02:00:00,قرطبة
0 days 06:00:00,القيروان
91 days 06:00:00,الملقا
30 days 10:00:00,القادسية
1 days 00:00:00,طويق
2 days 00:00:00,المونسية
30 days 10:00:00,الجنادرية
3 days 00:00:00,الملقا
14 days 00:00:00,طويق
0 days 07:00:00,المهدية
0 days 21:00:00,الياسمين
3 days 00:00:00,طويق
7 days 00:00:00,الرمال
30 days 10:00:00,الغربي
3 days 00:00:00,الملقا
2 days 00:00:00,الربيع
91 days 06:00:00,المهدية
60 days 20:00:00,طويق
30 days 10:00:00,طويق
0 days 04:00:00,الياسمين
3 days 00:00:00,ديراب
91 days 06:00:00,عكاظ
21 days 00:00:00,طويق
2 days 00:00:00,الرمال
0 days 23:00:00,حطين
7 days 00:00:00,طويق
1 days 00:00:00,المونسية
7 days 00:00:00,المونسية
3 days 00:00:00,العارض
1 days 00:00:00,الملقا
7 days 00:00:00,البيضاء
30 days 10:00:00,طويق
0 days 06:00:00,الياسمين
2 days 00:00:00,حطين
91 days 06:00:00,العارض
3 days 00:00:00,الياسمين
1 days 00:00:00,الملقا
0 days 07:00:00,الياسمين
0 days 09:00:00,الحزم
1 days 00:00:00,النرجس
1 days 00:00:00,النرجس
0 days 09:00:00,الربوة
3 days 00:00:00,لبن
60 days 20:00:00,العارض
0 days 07:00:00,الياسمين
3 days 00:00:00,طويق
7 days 00:00:00,الرمال
30 days 10:00:00,طويق
1 days 00:00:00,طويق
91 days 06:00:00,الجنادرية
60 days 20:00:00,الجنادرية
0 days 12:00:00,السليمانية
30 days 10:00:00,لبن
91 days 06:00:00,الجنادرية
0 days 10:00:00,الملقا
14 days 00:00:00,الرمال
30 days 10:00:00,الرمال
2 days 00:00:00,الملقا
1 days 00:00:00,طويق
0 days 06:00:00,العارض
3 days 00:00:00,المهدية
2 days 00:00:00,طويق
0 days 13:00:00,لبن
91 days 06:00:00,القيروان
5 days 00:00:00,الملقا
2 days 00:00:00,طويق
0 days 11:00:00,طويق
0 days 19:00:00,طويق
1 days 00:00:00,الحزم
1 days 00:00:00,الصحافة
0 days 09:00:00,طويق
0 days 08:00:00,الياسمين
7 days 00:00:00,العارض
3 days 00:00:00,الحزم
7 days 00:00:00,المهدية
0 days 08:00:00,الملقا
0 days 04:00:00,حطين
0 days 05:00:00,الرمال
6 days 00:00:00,المهدية
5 days 00:00:00,عبدالله
0 days 12:00:00,طويق
7 days 00:00:00,شبرا
0 days 19:00:00,طويق
1 days 00:00:00,طويق
91 days 06:00:00,المهدية
0 days 06:00:00,المحمدية
0 days 07:00:00,الياسمين
1 days 00:00:00,النهضة
1 days 00:00:00,طويق
2 days 00:00:00,العارض
6 days 00:00:00,الحزم
14 days 00:00:00,طويق
21 days 00:00:00,الخزامى
60 days 20:00:00,المونسية
60 days 20:00:00,العارض
0 days 07:00:00,القيروان
28 days 00:00:00,طويق
5 days 00:00:00,طويق
0 days 06:00:00,الملقا
1 days 00:00:00,النرجس
0 days 08:00:00,طويق
0 days 08:00:00,الياسمين
4 days 00:00:00,ديراب
3 days 00:00:00,العارض
5 days 00:00:00,النرجس
0 days 23:00:00,النخيل
0 days 12:00:00,الملقا
3 days 00:00:00,لبن
